time,latitude,longitude,depth,mag,place
2015-04-20T12:00:00.070Z,24.0471,122.4532,29,6.1,Japan
2015-04-20T11:45:13.440Z,24.0851,122.453,29,6,Japan
2015-04-20T01:42:58.380Z,24.2026,122.3158,29,6.4,Taiwan
2015-04-17T15:52:51.480Z,-15.8815,-178.6005,10,6.5,Wallis and Futuna
2015-04-16T18:07:43.610Z,35.1891,26.8235,20,6,Greece
2015-04-07T00:46:21.830Z,-15.1676,-173.2247,30,6.3,Tonga
2015-03-31T12:18:24.200Z,-4.8946,152.49,39,6,Papua New Guinea
2015-03-30T08:48:25.340Z,-15.4994,-173.0293,11,6.5,Tonga
2015-03-30T08:18:01.340Z,-15.392,-172.9409,14.54,6.4,Tonga
2015-03-30T07:56:53.230Z,-15.4296,-173.049,10,6,Tonga
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41,7.5,Papua New Guinea
2015-03-23T04:51:38.010Z,-18.3534,-69.1663,130,6.4,Chile
2015-03-18T18:27:29.500Z,-36.1167,-73.5219,13,6.2,Chile
2015-03-17T22:12:28.940Z,1.6686,126.5217,44,6.2,Indonesia
2015-03-15T23:17:16.910Z,-0.5409,122.3067,31,6.1,Indonesia
2015-03-10T20:55:44.370Z,6.7757,-72.9875,155,6.2,Colombia
2015-03-06T08:22:18.960Z,-41.3157,80.6046,10,6,Mid-Indian Ridge
2015-03-03T10:37:30.050Z,-0.7789,98.7161,28,6.1,Indonesia
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7,Indonesia
2015-02-22T14:23:12.720Z,18.6766,-106.848,5,6.2,Mexico
2015-02-21T10:13:53.290Z,39.8185,143.4861,7,6,Japan
2015-02-20T04:25:23.380Z,39.8244,143.5871,10,6.2,Japan
2015-02-19T13:18:32.810Z,-16.4311,168.1483,10,6.4,Vanuatu
2015-02-18T09:32:26.770Z,-10.7598,164.1216,10,6.1,Solomon Islands
2015-02-16T23:06:28.270Z,39.8558,142.8808,23,6.7,Japan
2015-02-16T22:00:53.590Z,-55.52,-28.2591,13,6.2,South Georgia and the South Sandwich Islands
2015-02-13T20:06:32.330Z,22.6374,121.427,30,6.2,Taiwan
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,Northern Mid-Atlantic Ridge
2015-02-11T18:57:22.460Z,-23.1125,-66.688,223,6.7,Argentina
2015-02-02T10:49:48.530Z,-32.7183,-67.1231,172,6.3,Argentina
2015-01-30T17:57:56.440Z,-21.2452,170.158,7.08,6,Vanuatu
2015-01-28T02:43:19.350Z,-20.9665,-178.3032,484.12,6.2,Fiji
2015-01-23T03:47:27.050Z,-17.0309,168.52,219.96,6.8,Vanuatu
2015-01-07T05:07:07.510Z,5.9045,-82.6576,8,6.5,Panama
2014-12-30T21:17:23.920Z,-20.3263,-178.5639,599.28,6,Fiji
2014-12-29T09:29:37.390Z,8.6341,121.5213,8,6.1,Philippines
2014-12-21T11:34:13.570Z,2.0892,126.6483,41,6.3,Indonesia
